text,label,source,verified
今天天气真好适合出去散步,normal,human,true
请问附近的地铁站怎么走,normal,human,true
这个电影很好看推荐大家去看,normal,human,true
我喜欢吃苹果和香蕉,normal,human,true
学习编程需要持之以恒的毅力,normal,human,true
这个餐厅的服务态度很棒,normal,human,true
周末和朋友们一起爬山真开心,normal,human,true
这本书的内容非常有深度,normal,human,true
我喜欢听古典音乐放松心情,normal,human,true
今天的会议讨论很有效率,normal,human,true
小明昨天买了一辆新自行车,normal,human,true
这道菜的口味偏辣但是很好吃,normal,human,true
公司新项目进展顺利,normal,human,true
每天坚持运动对身体有好处,normal,human,true
我喜欢在安静的咖啡馆里看书,normal,human,true
你是个垃圾废物滚远点,abuse,human,true
傻逼东西别来烦我,abuse,human,true
你妈死了知道吗,abuse,human,true
你这种人活着有什么意义,abuse,human,true
脑子有病吧赶紧滚,abuse,human,true
你个狗东西不配和我说话,abuse,human,true
废柴一个别在这里丢人现眼,abuse,human,true
你全家都是智障,abuse,human,true
贱人别出现在我面前,abuse,human,true
你这种人就该去死,abuse,human,true
我要砍死你全家,violence,human,true
等着看我怎么弄死你,violence,human,true
把你绑起来用刀割肉,violence,human,true
明天去你家放火烧房子,violence,human,true
找几个人打断你的腿,violence,human,true
爆你头让你横着出去,violence,human,true
血腥视频展示真实的杀戮场面,violence,human,true
教你如何制作炸弹,violence,human,true
我要把你的内脏掏出来,violence,human,true
带刀具去学校砍人计划,violence,human,true
裸聊视频一晚五百,porn,human,true
和我做爱给你钱,porn,human,true
成人视频免费观看网址,porn,human,true
约炮神器一夜情,porn,human,true
裸露照片大尺度分享,porn,human,true
强奸迷药购买渠道,porn,human,true
情色小说在线阅读,porn,human,true
处女初夜体验视频,porn,human,true
卖淫服务联系方式,porn,human,true
偷拍女生洗澡视频,porn,human,true
某党派内幕腐败真相,politics,human,true
反对政府某项政策的理由,politics,human,true
政治敏感话题讨论群,politics,human,true
选举舞弊证据曝光,politics,human,true
政治谣言传播素材,politics,human,true
抗议示威游行组织,politics,human,true
境外势力干预内政,politics,human,true
颠覆政权的思想宣传,politics,human,true
敏感政治人物黑料,politics,human,true
民族分裂主义言论,politics,human,true
这个产品性价比很高值得购买,normal,human,true
下雨天记得带伞出门,normal,human,true
我喜欢周末在家休息,normal,human,true
这个城市交通很便利,normal,human,true
健康饮食对身体很重要,normal,human,true
我喜欢喝咖啡提神,normal,human,true
今天的工作任务完成了,normal,human,true
春天花开得很美丽,normal,human,true
我喜欢和朋友们聊天,normal,human,true
这篇文章写得很有道理,normal,human,true
你的行为让我很失望,normal,human,true
这个问题需要认真思考,normal,human,true
请遵守公共秩序,normal,human,true
我对这个结果不太满意,normal,human,true
希望你能理解我的立场,normal,human,true
你这个愚蠢的白痴,abuse,human,true
滚回你妈肚子里去,abuse,human,true
你这种人就是社会垃圾,abuse,human,true
别以为你很了不起傻叉,abuse,human,true
你这种人就该被车撞死,abuse,human,true
你个废物活着浪费空气,abuse,human,true
你妈生你就是个错误,abuse,human,true
蠢货离我远点,abuse,human,true
你这种人就是人渣,abuse,human,true
你个废物东西赶紧消失,abuse,human,true
我要拿锤子砸烂你的头,violence,human,true
绑架你的家人要赎金,violence,human,true
传授自杀方法的视频,violence,human,true
真实处决现场视频流出,violence,human,true
虐待动物教学视频,violence,human,true
组织打群架的时间地点,violence,human,true
分尸教程详细步骤,violence,human,true
杀人灭口不留痕迹,violence,human,true
血腥车祸现场照片,violence,human,true
如何用毒药杀人,violence,human,true
情趣内衣大尺度展示,porn,human,true
换妻俱乐部加入方式,porn,human,true
成人直播平台推荐,porn,human,true
猥亵儿童视频资源,porn,human,true
原味内衣交易信息,porn,human,true
多人淫乱派对组织,porn,human,true
性工作者服务报价,porn,human,true
成人用品试用视频,porn,human,true
黄片种子下载链接,porn,human,true
偷拍更衣室视频,porn,human,true
政府高官丑闻内幕,politics,human,true
政治献金黑幕曝光,politics,human,true
分裂国家的言论组织,politics,human,true
敏感历史事件讨论,politics,human,true
政治体制批判文章,politics,human,true
意识形态渗透宣传,politics,human,true
群体性事件煽动,politics,human,true
政治敏感话题群聊,politics,human,true
境外媒体负面报道,politics,human,true
社会制度批判言论,politics,human,true
